Name,Address,Phone
La Cure Gourmande,24 rue Carnot 74000 Annecy  ,Opposé aux opérations de marketing
Galeries Lafayette,25 avenue Parmelan 74000 Annecy  ,Opposé aux opérations de marketing
Vertbaudet Annecy,16 rue de l'Annexion 74000 Annecy  ,04 50 51 20 56
Millet Annecy,25 avenue Parmelan 74000 Annecy  ,04 50 33 82 12
Magasin Z,26 rue Carnot 74000 Annecy  ,04 58 13 00 10
Scène de Vie,5 rue Poste 74000 Annecy  ,04 58 13 00 46
Move-On Magazine,Centre IDEM 74 129 avenue Genève 74000 Annecy  ,Opposé aux opérations de marketing
Renault Groupe Gueudet Concessionnaire,12 avenue Aix les Bains 74600 Seynod  ,Opposé aux opérations de marketing
CIGUSTO ANNECY - EPAGNY,Centre Commercial Auchan rue du Commerce 74330 Epagny Metz Tessy  ,04 50 69 41 57
Coopérative de Thônes - le farto,Za Perrasses 40 avenue Annecy 74230 Thônes  ,06 32 35 81 37
Le Bois Clair,56 avenue Annecy 74230 Thônes  ,04 50 52 25 31
Philippe Rigollot Pâtissier Chocolatier,1 place Georges Volland 74000 Annecy  ,07 45 80 13 50
Au Fidèle Berger,2 rue Royale 74000 Annecy  ,03 20 93 72 02
Jeff De Bruges,Ens 20 18 rue Carnot 74000 Annecy  ,04 50 88 12 50
FNAC Annecy,Centre Commercial Courier 65 rue Carnot 74000 Annecy  ,Opposé aux opérations de marketing
B&M,Epagny 378 avenue Alpes Epagny 74330 Epagny Metz Tessy  ,Opposé aux opérations de marketing
Centre Commercial Val Semnoz Annecy Seynod,ccal Géant avenue Aix les Bains 74600 Seynod  ,04 50 02 05 60
Zara,65 rue Carnot 74000 Annecy  ,04 50 44 08 37
Le Comptoir Canadien,1 rue Prés Favre 74000 Annecy  ,Opposé aux opérations de marketing
LACOSTE,18 rue Sommeiller 74000 Annecy  ,Opposé aux opérations de marketing
